idptar;nomptar;CodeINSEE;X;Y;coord
2458;Rueil-Malmaison;92063;587828;2432116;48.8872220198,2.1706232016
161469;Val d'europe;77449;632190;2428617;48.8550877316,2.77492611826
1628;Villepinte;93078;612887;2440568;48.9631675094,2.51238782453
1663;Sevran-Beaudottes;93071;613745;2438853;48.9477376104,2.52404227481
1918;La Plaine-Stade de France;93066;601914;2435541;48.9181166004,2.36260451523
48432;Aéroport Charles de Gaulle 2 TGV;95527;617164;2445145;49.0041985468,2.57094642069
2473;Villeparisis;77514;619510;2439473;48.9531603089,2.60272851855
2188;Drancy;93029;608695;2437171;48.9327097684,2.45510534184
2166;Cité Universitaire;75114;600234;2424661;48.8203370161,2.33969097138
2195;Bourg-la-Reine;92014;598210;2420179;48.780050897,2.31216262263
2231;Fontaine-Michalon;92002;597098;2416161;48.7439325227,2.29706733128
2385;Palaiseau;91477;593374;2413270;48.7179193959,2.24650141299
2239;La Hacquinière;91122;586460;2410739;48.6950606912,2.15266413344
2483;Saint-Rémy-lès-Chevreuse;78575;580419;2411625;48.7028686434,2.07060021119
2265254;Gare Saint-Lazare;;;;
2265278;Epone Mezières;;;;
2265280;Mantes-Station;;;;
2265281;Mantes-Station;;;;
2265279;Epone Mezières;;;;
2265261;Sartrouville;;;;
46101;Bois-Colombes;;;;
46102;Colombes;;;;
46618;Cormeilles-en-Parisis;;;;
46616;Argenteuil;;;;
46615;Le Stade;;;;
170125;Asnières;;;;
809236;Sannois;;;;
810758;Bois-Colombes;;;;
810762;Le Stade;;;;
46431;Argenteuil;;;;
5161576;Conflans-Fin d'Oise;;;;
46120;Pontoise;;;;
46121;Osny;;;;
46123;Montgeroult Courcelles;;;;
46126;Chars;;;;
46132;Lavilletertre;;;;
46133;Liancourt-Saint-Pierre;;;;
46134;Trie-Château;;;;
46517;Gisors;;;;
46646;Trie-Château;;;;
46645;Liancourt-Saint-Pierre;;;;
46638;Chars;;;;
46635;Montgeroult Courcelles;;;;
5161577;Conflans-Fin d'Oise;;;;
46628;La Frette Montigny;;;;
46943;Argenteuil;;;;
810753;Pont Cardinet;;;;
591489;La Frette Montigny;;;;
46110;Conflans-Fin d'Oise;;;;
46136;Issou Porcheville;;;;
46138;Mantes-Station;;;;
46625;Vaux-sur-Seine;;;;
46619;Gare Saint-Lazare;;;;
3144457;Asnières;;;;
3953360;Nanterre-Université;;;;
3144465;H1lles Carrières-sur-Seine;;;;
3144467;Sartrouville;;;;
3144473;Poissy;;;;
3144472;Achères Grand Cormier;;;;
3144470;Maisons-Laffitte;;;;
4747047;Le Stade;;;;
4747051;Val d'Argenteuil;;;;
4747053;Cormeilles-en-Parisis;;;;
4747061;Conflans-Fin d'Oise;;;;
4747184;Vaux-sur-Seine;;;;
4747192;Gargenville;;;;
4747196;Limay;;;;
4747191;Juziers;;;;
4747181;Chanteloup-lès-Vignes;;;;
4747467;Andrésy;;;;
4747058;Herblay;;;;
4747048;Le Stade;;;;
4747046;Colombes;;;;
46436;La Défense (Grande Arche);;;;
46166;Suresnes Mont-Valérien;;;;
46167;Le Val d'Or;;;;
46683;Montreuil;;;;
46682;Viroflay-Rive Droite;;;;
46681;Chaville-Rive Droite;;;;
46948;La Défense (Grande Arche);;;;
47039;Louveciennes;;;;
46689;Vaucresson;;;;
591507;Pont Cardinet;;;;
47106;La Garenne-Colombes;;;;
47107;Nanterre-Université;;;;
47108;H1lles Carrières-sur-Seine;;;;
47129;Cergy-le-Haut;;;;
47118;La Garenne-Colombes;;;;
47115;Gare Saint-Lazare;;;;
46222;Issy-Val de Seine;;;;
46227;Musée d'Orsay;;;;
46231;Vitry-sur-Seine;;;;
46236;Juvisy-sur-Orge;;;;
46237;Epinay-sur-Orge;;;;
46479;Viroflay-Rive Gauche;;;;
46530;Savigny-sur-Orge;;;;
46733;Issy;;;;
46737;Pont de l'alma;;;;
46741;Bibliothèque-François Mitterrand;;;;
46749;Epinay-sur-Orge;;;;
46753;Chamarande;;;;
46951;Choisy-le-Roi;;;;
46952;Etréchy;;;;
46244;Saint-Quentin-en-Yvelines;;;;
46248;Issy-Val de Seine;;;;
46249;Javel;;;;
46252;Invalides;;;;
46268;Breuillet Bruyères-le-Châtel;;;;
46441;Pont du Garigliano-Hôpital Européen G.Pompidou;;;;
46442;Choisy-le-Roi;;;;
46443;Arpajon;;;;
46485;Saint-Michel-sur-Orge;;;;
46758;Versailles-Chantiers;;;;
46764;Invalides;;;;
46768;Vitry-sur-Seine;;;;
46771;Ablon;;;;
46785;Dourdan-la-Forêt;;;;
47044;Gare d'Austerlitz;;;;
142904;Meudon-Val-Fleury;;;;
142906;Issy;;;;
6613864;Porchefontaine;;;;
46276;Montigny-Beauchamp;;;;
46286;Avenue Foch;;;;
46289;Champ de Mars-Tour Eiffel;;;;
46290;Pont de l'alma;;;;
46293;Gare d'Austerlitz;;;;
46296;Massy-Palaiseau;;;;
46445;Invalides;;;;
46794;Porte de Clichy;;;;
46801;Champ de Mars-Tour Eiffel;;;;
46803;Musée d'Orsay;;;;
46808;Massy-Palaiseau;;;;
46957;Invalides;;;;
142855;Ivry-sur-Seine;;;;
142893;Sainte-Geneviève-des-Bois;;;;
142901;Epinay-sur-Orge;;;;
162240;Pontoise;;;;
591238;La Norville Saint-Germain-lès-Arpajon;;;;
591242;Egly;;;;
591243;Egly;;;;
591247;Breuillet-Village;;;;
591251;Sermaise;;;;
2924302;Gare d'Austerlitz Grandes Lignes;;;;
46302;Ivry-sur-Seine;;;;
46307;Rungis-La Fraternelle;;;;
46310;Massy-Palaiseau;;;;
46451;Orly-Ville;;;;
46815;Vitry-sur-Seine;;;;
46820;Chemin d'Antony;;;;
46821;Massy-Verrières;;;;
46963;Orly-Ville;;;;
46320;Invalides;;;;
46322;Choisy-le-Roi;;;;
46325;Athis-Mons;;;;
46328;Epinay-sur-Orge;;;;
46452;Pont de l'alma;;;;
46490;Chaville-Vélizy;;;;
46491;Gare d'Austerlitz;;;;
46823;Versailles Château-Rive Gauche;;;;
46830;Javel;;;;
46838;Juvisy-sur-Orge;;;;
47003;Gare d'Austerlitz;;;;
142867;Les Ardoines;;;;
46332;Viroflay-Rive Gauche;;;;
46337;Javel;;;;
46338;Champ de Mars-Tour Eiffel;;;;
46339;Invalides;;;;
46340;Musée d'Orsay;;;;
46342;Villeneuve-le-Roi;;;;
46344;Athis-Mons;;;;
46845;Chaville-Vélizy;;;;
46846;Issy;;;;
46850;Champ de Mars-Tour Eiffel;;;;
46851;Invalides;;;;
46855;Ablon;;;;
46862;Massy-Palaiseau;;;;
65840;Petit-Jouy-les-Loges;;;;
65841;Versailles-Chantiers;;;;
1470425;Sermaise;;;;
1470428;Saint-Chéron;;;;
1470443;Sainte-Geneviève-des-Bois;;;;
1470453;Bibliothèque-François Mitterrand;;;;
1470461;Invalides;;;;
1470462;Invalides;;;;
1470466;Champ de Mars-Tour Eiffel;;;;
1470471;Avenue Henri-Martin;;;;
1470473;Avenue Foch;;;;
1470476;Porte Maillot;;;;
1470479;Porte de Clichy;;;;
1470480;Porte de Clichy;;;;
1470481;Saint-Ouen;;;;
1470490;Saint-Gratien;;;;
1470492;Ermont-Eaubonne;;;;
1470494;Cernay;;;;
1470500;Saint-Martin d'Etampes;;;;
1470506;Chamarande;;;;
1664167;Saint-Martin d'Etampes;;;;
1664176;Lardy;;;;
1664185;Sainte-Geneviève-des-Bois;;;;
1664190;Savigny-sur-Orge;;;;
1664195;Gare d'Austerlitz;;;;
1664196;Gare d'Austerlitz;;;;
1664205;Champ de Mars-Tour Eiffel;;;;
1664206;Champ de Mars-Tour Eiffel;;;;
1664208;Kennedy Radio-France;;;;
1664209;Boulainvilliers;;;;
1664213;Avenue Foch;;;;
1664217;Pereire;;;;
1664344;Franconville Plessis-Bouchard;;;;
1670015;Gare d'Austerlitz Grandes Lignes;;;;
1670024;Athis-Mons;;;;
1673402;Bouray;;;;
1673403;Lardy;;;;
1673408;Etréchy;;;;
1673409;Etampes;;;;
6591402;Bibliothèque-François Mitterrand;;;;
6591406;Saint-Michel Notre-Dame;;;;
6591407;Musée d'Orsay;;;;
6591414;Champ de Mars-Tour Eiffel;;;;
6591417;Issy-Val de Seine;;;;
6591421;Meudon-Val-Fleury;;;;
6591429;Versailles-Chantiers;;;;
60287;Châtelet-Les Halles;;;;
60294;Saint-Denis;;;;
60295;Saint-Denis;;;;
60304;Les Noues;;;;
60310;La Borne-Blanche;;;;
60311;La Borne-Blanche;;;;
60316;Creil;;;;
60318;Gare de Lyon;;;;
60328;Villeneuve-Triage;;;;
60329;Villeneuve-Triage;;;;
60391;Brunoy;;;;
60392;Brunoy;;;;
60402;Cesson;;;;
60412;Pierrefitte Stains;;;;
60438;Evry Courcouronnes;;;;
60447;Buno-Gironville;;;;
60460;Châtelet-Les Halles;;;;
60464;Saint-Denis;;;;
60467;Villiers-le-Bel (Gonesse - Arnouville);;;;
60479;Le Vert de Maisons;;;;
60481;Villeneuve-Triage;;;;
60484;Juvisy-sur-Orge;;;;
60489;Grigny-Centre;;;;
60494;Moulin-Galant;;;;
60496;Ballancourt;;;;
132637;Stade de France-Saint-Denis;;;;
590099;La Borne-Blanche;;;;
590105;Les Noues;;;;
590107;Goussainville;;;;
590108;Goussainville;;;;
590123;Gare de Lyon (Banlieue);;;;
590133;Villeneuve-Saint-Georges;;;;
590134;Villeneuve-Saint-Georges;;;;
590136;Vigneux-sur-Seine;;;;
590151;Essonnes-Robinson;;;;
590154;Villabé;;;;
590155;Le Plessis-Chenet-IBM;;;;
590166;Vosves;;;;
4473202;Creteil-Pompadour;;;;
1662661;Gare de Lyon;;;;
1662670;Villeneuve-Saint-Georges;;;;
1662674;Juvisy-sur-Orge;;;;
1662678;Grigny-Centre;;;;
1662679;Grigny-Centre;;;;
1662683;Evry Courcouronnes;;;;
4102154;Paris-Nord;;;;
4102155;Paris-Nord;;;;
4102156;Châtelet-Les Halles;;;;
4102180;Le Mee;;;;
4102182;Melun;;;;
5005189;Pantin;;;;
5005191;Noisy-le-Sec;;;;
5005193;Bondy;;;;
5005197;Gagny;;;;
5005198;Gagny;;;;
5005522;Rosny-Bois-Perrier;;;;
5005529;Les Boullereaux Champigny;;;;
5005531;Villiers-sur-Marne Plessis-Trévise;;;;
5005666;Emerainville Pontault-Combault;;;;
5005671;Gretz-Armainvilliers;;;;
5740950;Rosa Parks;;;;
5740951;Gare de l'Est;;;;
1725;Saint-Mandé;94007;606058;2427546;48.8462382158,2.41899982478
1955;Gare de Lyon;75112;602713;2427468;48.8455597463,2.37344920163
2062;Bastille;75104;602402;2428293;48.8529756339,2.36921882111
1945;Franklin-Roosevelt;75108;598073;2430077;48.8690103872,2.31025317756
1803;Pont de Neuilly;92051;594278;2431915;48.8855060687,2.25852746686
1887;La Défense (Grande Arche);92062;592772;2432620;48.8918267141,2.23799203988
2116;Bérault;94080;606737;2427450;48.8453687094,2.42824450629
2383;Palais-Royal (Musée du Louvre);75101;600005;2429338;48.8623717808,2.3365735974
2079;Couronnes;75111;603232;2430113;48.8693291287,2.38053636283
1629;Villiers;75117;598539;2431447;48.8813242532,2.31659675818
1736;Porte Dauphine (Maréchal de Lattre de Tassigny);75116;595476;2430388;48.8717921757,2.27486995786
2394;Père-Lachaise;75111;603726;2429427;48.8631611643,2.38726039685
2128;Couronnes;75111;603232;2430113;48.8693291287,2.38053636283
2168;Colonel Fabien;75110;602471;2431098;48.878184941,2.3701745433
2484;Stalingrad;75119;602240;2431766;48.8841892535,2.36703043864
2401;Pigalle;75118;600055;2431569;48.8824224877,2.33725467877
2509;Villiers;75117;598539;2431447;48.8813242532,2.31659675818
2179;Courcelles;75108;597563;2431219;48.8792721109,2.30329854335
2148;Charles de Gaulle-Etoile;75108;596929;2430632;48.8739938,2.29466395849
2414;Porte Dauphine (Maréchal de Lattre de Tassigny);75116;595476;2430388;48.8717921757,2.27486995786
1949;Gallieni (Parc de Bagnolet);93006;605834;2429440;48.8632624857,2.41597536517
1683;Temple;75103;601840;2429827;48.866764127,2.3615713237
1662;Sentier;75102;600812;2429892;48.8673503407,2.34756723208
1722;Saint-Lazare;75108;599199;2430819;48.8756814657,2.32559158149
1786;Pereire;75117;597111;2431860;48.8850310205,2.29713510817
2395;Père-Lachaise;75111;603699;2429403;48.8629456209,2.38689240121
2285;Havre-Caumartin;75109;599411;2430572;48.8734618499,2.32848048114
2514;Wagram;75117;597729;2431713;48.8837124353,2.30555775418
2329;L1se Michel;92044;596445;2432332;48.8892695815,2.28805512147
2033;Château Rouge;75118;600944;2432088;48.8870862423,2.34937006992
1996;Denfert-Rochereau;75114;599684;2426212;48.8342767721,2.33220379397
2420;Porte de Clignancourt;75118;600549;2433299;48.8979701297,2.3439883801
2110;Barbès-Rochechouart;75109;600943;2431737;48.8839317292,2.34935570527
2259;Etienne Marcel;75101;600916;2429487;48.8637103257,2.34898319279
2219;Châtelet;75101;600834;2428885;48.8583000152,2.34786508424
2363;Montparnasse-Bienvenue;75114;599114;2427315;48.8441894677,2.3244412291
2525;Raspail;75114;599557;2426755;48.8391569407,2.33047414783
1675;Stalingrad;75119;602264;2431762;48.8841532224,2.36735747413
1958;Gare du Nord;75110;601458;2431231;48.8793832619,2.35637207803
1767;République;75111;602005;2429922;48.8676174458,2.3638195181
1843;Oberkampf;75111;602399;2429523;48.8640301694,2.36918476922
2382;Ourcq;75119;603594;2432037;48.8866187516,2.38548413305
2297;Jaurès;75119;602501;2431620;48.8828761755,2.37058633283
2213;Gare du Nord;75110;601458;2431231;48.8793832619,2.35637207803
2445;Richard-Lenoir;75111;602636;2429151;48.8606859512,2.37241092855
2206;Gare d'Austerlitz;75113;602033;2427229;48.8434141834,2.36418838953
2081;Daumesnil (Félix Eboué);75112;604354;2426781;48.8393764223,2.39578805708
1974;Chevaleret;75113;602235;2426246;48.8345787576,2.36693389574
1657;La Motte-Picquet-Grenelle;75115;597155;2427853;48.8490188876,2.29776215737
1926;Dupleix;75115;596766;2428045;48.8507426094,2.29246322349
2069;Bir-Hakeim (Grenelle);75115;596498;2428444;48.8543271778,2.2888101004
1687;Trocadéro;75116;596385;2429372;48.8626668651,2.28726305822
2030;Charles de Gaulle-Etoile;75108;596936;2430601;48.8737152275,2.29475955952
2117;Bercy;75112;603156;2426871;48.8401922036,2.37947725393
2177;Corvisart;75113;600945;2425692;48.8296027042,2.34937026012
2251;Dupleix;75115;596766;2428045;48.8507426094,2.29246322349
1954;Gare de l'Est (Verdun);75110;601650;2430901;48.8764170121,2.35898704312
1849;Le Peletier;75109;600268;2430739;48.8749630173,2.34015678752
1649;Place Monge (Jardin des Plantes);75105;601146;2427201;48.843164652,2.35211035908
1808;Porte d'Italie;75113;601815;2424511;48.8189864752,2.36120868218
1871;Mairie d'Ivry;94041;603454;2423647;48.8112144947,2.3835089254
1639;Villejuif-Léo Lagrange;94076;602014;2422818;48.8037696225,2.36390930306
2422;Porte de la Villette;75119;603605;2433251;48.8975291161,2.38564422679
2093;Crimée;75119;602955;2432445;48.8902887343,2.37677864559
2448;Riquet;75119;602783;2432234;48.8883931911,2.37443310555
2486;Stalingrad;75119;602375;2431753;48.8840719456,2.36887005944
2546;Château Landon;75110;601875;2431128;48.8784565261,2.36205371292
2134;Cadet;75109;600502;2430835;48.8758256773,2.34334512124
2226;Chaussée d'Antin (La Fayette);75109;599774;2430519;48.8729857839,2.33342622072
2435;Pyramides;75101;599823;2429797;48.8664969463,2.33409421193
2321;Les Gobelins;75113;601144;2426418;48.836127399,2.3520811145
2418;Porte de Choisy;75113;602066;2424600;48.819785644,2.3646252716
2301;Mairie d'Ivry;94041;603454;2423647;48.8112144947,2.3835089254
3343761;Invalides;75107;598395;2429196;48.8610934269,2.31464335201
3343781;Saint-Sébastien-Froissart;75103;602258;2429183;48.8609749564,2.36726229169
3343789;Faidherbe-Chaligny;75111;603519;2427970;48.8500676272,2.38442876741
3343791;Reuilly-Diderot;75112;603723;2427653;48.8472174603,2.38720417388
3343793;Montgallet;75112;603901;2427311;48.8441426903,2.38962500951
3343805;Charenton-Ecoles;94018;605683;2424792;48.8214897784,2.413856759
3343807;Ecole Vétérinaire de Maisons-Alfort;94046;606255;2424079;48.8150762793,2.4216317634
3343813;Créteil-L'Echat (Hôpital Henri Mondor);94028;608308;2422026;48.7966012568,2.44953152104
3343815;Créteil-Université;94028;608405;2421261;48.7897242753,2.45083610306
3343752;Félix Faure;75115;596748;2427164;48.8428245269,2.29222496289
3343764;Concorde;75108;598815;2429687;48.8655071808,2.32036285253
3343772;Grands Boulevards;75109;600469;2430362;48.8715747028,2.34289502865
3343776;Strasbourg-Saint-Denis;75102;601290;2430118;48.8693807393,2.35407964886
3343778;République;75111;601969;2429928;48.8676714782,2.36332911744
3343786;Bastille;75104;602398;2428378;48.8537395822,2.36916481453
3343798;Michel Bizot;75112;604878;2426516;48.8369909969,2.40291960354
3343825;Pointe du Lac;94028;609498;2418858;48.7681110356,2.46565028571
1747;Porte de Saint-Cloud;75116;594057;2426581;48.8375652937,2.25559127111
1814;Michel-Ange-Auteuil;75116;594693;2427733;48.847924552,2.26423590245
1917;La Muette;75116;595418;2428864;48.8580950089,2.27409644478
1730;Saint-Philippe du Roule;75108;598111;2430462;48.872470625,2.3107690979
1715;Saint-Augustin;75108;598842;2430675;48.8743867195,2.32072782863
2032;Charonne;75111;603563;2428479;48.8546420067,2.38503219
1882;Maraîchers;75120;605131;2428253;48.8526003616,2.40638498623
2343;Pont de Sèvres;92012;592215;2425707;48.8296902972,2.23052843086
2425;Porte de Saint-Cloud;75116;594057;2426581;48.8375652937,2.25559127111
2355;Michel-Ange-Molitor;75116;594522;2427414;48.8450560883,2.26191141995
2286;Havre-Caumartin;75109;599447;2430568;48.8734259358,2.32897096996
2447;Richelieu-Drouot;75109;600207;2430420;48.872096083,2.33932555252
2457;Grands Boulevards;75109;600492;2430355;48.8715117763,2.34320837421
2454;Rue des Boulets;75111;603863;2428210;48.8522226724,2.38911564759
8433;Porte d'Auteuil;75116;594213;2427767;48.8482259396,2.25769888233
2031;Charles Michels;75115;596264;2427558;48.8463629347,2.28563106255
2057;Avenue Emile-Zola;75115;596985;2427612;48.8468521112,2.2954488246
1661;Ségur;75115;597853;2427613;48.8468646613,2.30726884425
1977;Cluny-La Sorbonne;75105;600626;2428050;48.8507957149,2.34503088503
2018;Cardinal-Lemoine;75105;601089;2427595;48.8467058283,2.35133517564
1908;Jussieu;75105;601325;2427490;48.8457617165,2.35454859157
2194;Boulogne Pont de Saint-Cloud;92012;592054;2426930;48.8406801223,2.22831365839
2256;Eglise d'Auteuil;75116;595138;2427728;48.8478831758,2.2702958893
2150;Charles Michels;75115;596264;2427558;48.8463629347,2.28563106255
2106;Avenue Emile-Zola;75115;596985;2427612;48.8468521112,2.2954488246
2533;Odéon;75106;600173;2428219;48.8523148404,2.338861717
1682;Télégraphe;75120;604563;2430803;48.8755224085,2.39867650781
1905;Jourdain;75120;603877;2430772;48.8752482539,2.38932943082
1758;Pyrénées;75120;603551;2430613;48.8738211316,2.38488636886
2066;Belleville;75119;602954;2430404;48.8719457572,2.37675103804
1963;Goncourt (Hôpital Saint-L1s);75110;602515;2430189;48.8700153145,2.37076879569
2436;Pyrénées;75120;603551;2430613;48.8738211316,2.38488636886
2115;Belleville;75119;602954;2430404;48.8719457572,2.37675103804
2220;Châtelet;75101;600827;2428947;48.8588572436,2.34776985341
1750;Porte de Versailles;75115;596427;2425988;48.832253412,2.28786413449
1984;Convention;75115;597054;2426531;48.8371369088,2.29639608682
1842;Notre-Dame des Champs;75106;599408;2427381;48.8447830076,2.32844447996
1743;Porte de la Chapelle;75118;601668;2433298;48.897959305,2.35924143528
2512;Volontaires;75115;597906;2427007;48.8414184019,2.30799364605
2172;Concorde;75108;598892;2429685;48.8654893501,2.32141178588
2468;Saint-Lazare;75108;599280;2430790;48.875420937,2.32669526874
2465;Saint-Georges;75109;600097;2431143;48.8785939145,2.33782696558
2245;Lamarck-Caulaincourt;75118;600194;2432383;48.889738067,2.33914908334
2282;Marx-Dormoy;75118;601709;2432454;48.8903740405,2.35979700534
1749;Porte de Vanves;75114;597635;2425488;48.8277652858,2.30431234743
1872;Mairie de Clichy;92024;597719;2433968;48.9039784414,2.30540903178
1662797;Asnières-Gennevilliers Les Courtilles;92004;596133;2436897;48.9302935821,2.28376062986
2224;Châtillon Montrouge;92020;597412;2423543;48.8102833227,2.30128886764
2276;Malakoff-Rue Etienne Dolet;92020;597118;2424035;48.8147040198,2.29728472684
2293;Invalides;75107;598388;2429169;48.8608507489,2.31454810929
2144;Champs-Elysées-Clémenceau;75108;598362;2429894;48.8673665297,2.31419106006
2406;Place de Clichy;75109;599322;2431656;48.8832039591,2.32726602131
2426;Porte de Saint-Ouen;75118;599451;2433248;48.897511692,2.32902164388
1692061;Carrefour-Pleyel;93070;600543;2435744;48.9199434643,2.34390941645
2165;Brochant;75117;598803;2432481;48.8906176051,2.3201911209
